StartDate,EndDate,ResponseType,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseID,Latitude,Longitude,Channel,Language,HairLength,DryingTime,ScalpNumber ,FlakesFrequency,HairType,ProductStyling,HairProblem,ScalpfeelWash,Strand,HairGreyed ,HairTreatmentChemeical,HairTreatment,ProductSmell,Races,AgeRange,Countries,Sex,ZipCode,Porosity,target_1,target
10/19/2020 10:28,10/19/2020 10:31,IP Address,129.119.235.14,100,184,TRUE,10/19/2020 10:31,R_3qBX9sERRbSYZgo,32.82659912,-96.7888031,emaild,EN,Armpit length,"A pretty long time, may be damp the whole day.",I have no problem seeing my scalp.,Weekly,2c,Oil,"Hair Growth,Frizz,Split Ends,Chemical and Heat Damage,Oily Scalp",Combination,Thin and bendable.,None at all,,Every few months,Unscented,White,18-24,,Female,63141,High,wavy_High,3
10/19/2020 10:34,10/19/2020 10:37,IP Address,129.119.55.59,100,171,TRUE,10/19/2020 10:37,R_3qQmo6oxMfqF121,32.83099365,-96.76920319,anonymous,EN,Armpit length,"A pretty long time, may be damp the whole day.",I have no problem seeing my scalp.,Sometimes,3c,"Styling Cream,Oil","Hair Growth,Split Ends,Chemical and Heat Damage",Combination,Thin and bendable.,Just a few hairs here and there,,Rarely,Fresh,Black or African American,25-34,United States of America,Female,75204,High,curly_High,0
10/19/2020 11:22,10/19/2020 11:27,IP Address,129.119.235.8,100,280,TRUE,10/19/2020 11:27,R_Wd0MNbB3zYYswKJ,32.82659912,-96.7888031,anonymous,EN,Chin length,Just a few minutes out of the shower,I have no problem seeing my scalp.,Rarely,2b,Mousse,"Frizz,Too Little Volume,Dull hair strands,Anti Aging",Balanced,Thin and bendable.,Just a few hairs here and there,,Once or twice a year,Unscented,White,45-54,Finland,Female,75214,Low,wavy_Low,5
10/19/2020 11:32,10/19/2020 11:34,IP Address,67.164.105.230,100,175,TRUE,10/19/2020 11:34,R_2rZoaSm5gH6aPBs,37.2507019,-121.8359985,anonymous,EN,Above the ear or shoulder,1-2 hours,Some of my scalp.,Rarely,3a,Styling Cream,Frizz,Oily,Thick and noticeable.,Just a few hairs here and there,,Rarely,Fresh,Arab or Middle Eastern,18-24,Yemen,Male,76014,Medium,curly_Medium,1
10/19/2020 12:51,10/19/2020 12:54,IP Address,47.187.45.146,100,198,TRUE,10/19/2020 12:54,R_1dlZQIIfD58OjUS,32.84890747,-96.96669769,anonymous,EN,Above the ear or shoulder,Just a few minutes out of the shower,I have no problem seeing my scalp.,Weekly,2a,"Styling Cream,Mousse","Thinning,Frizz,Dry Scalp,Dandruff,Rough/Dry Hair",Oily,Thin and bendable.,None at all,,Rarely,Musk,Asian,18-24,Pakistan,Male,75062,Low,wavy_Low,5
10/19/2020 12:51,10/19/2020 12:54,IP Address,76.187.63.237,100,197,TRUE,10/19/2020 12:54,R_1isqQYQx5F8fuv9,32.91029358,-96.728302,anonymous,EN,Above the ear or shoulder,Just a few minutes out of the shower,I have no problem seeing my scalp.,Rarely,2c,"Styling Cream,Oil",Oily Scalp,Combination,I can't feel the strand.,None at all,,Every few months,Fresh,Black or African American,18-24,Ethiopia,Male,75243,Low,wavy_Low,5
10/19/2020 12:56,10/19/2020 13:02,IP Address,76.201.2.126,100,366,TRUE,10/19/2020 13:02,R_2fMIMeP65AAQSSB,33.1177063,-96.67910004,anonymous,EN,Mid-back or longer,"A pretty long time, may be damp the whole day.",Some of my scalp.,Weekly,2b,"Custard,Oil","Hair Growth,Thinning,Dry Scalp,Dandruff,Rough/Dry Hair",Combination,Thick and noticeable.,Just a few hairs here and there,,Rarely,Floral,Arab or Middle Eastern,18-24,Palestine,Female,75013,High,wavy_High,3
10/19/2020 13:05,10/19/2020 13:09,IP Address,172.126.17.206,100,228,TRUE,10/19/2020 13:09,R_20NzVXS1knTMCa6,32.98800659,-96.68840027,anonymous,EN,Shoulder length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Rarely,2c,"Gel,Styling Cream,Oil","Hair Growth,Chemical and Heat Damage,Breakage,Rough/Dry Hair",Combination,Thick and noticeable.,Just a few hairs here and there,"Keratin Treatment,Hair Rebonding",Every few months,Fruity,Arab or Middle Eastern,18-24,Palestine,Female,75082,High,wavy_High,3
10/19/2020 13:38,10/19/2020 13:40,IP Address,98.200.152.102,100,162,TRUE,10/19/2020 13:40,R_2atvtq0dqyimMsb,29.66540527,-95.72450256,anonymous,EN,Armpit length,Just a few minutes out of the shower,I have no problem seeing my scalp.,Sometimes,2a,"None of these, I prefer...","Hair Growth,Thinning,Frizz,Too Little Volume,Oily Scalp",Oily,Thin and bendable.,None at all,,Rarely,Fresh,South Asian,18-24,Bangladesh,Female,77407,Low,wavy_Low,5
10/19/2020 14:32,10/19/2020 14:35,IP Address,24.170.119.176,100,198,TRUE,10/19/2020 14:35,R_2AQmKQUaHdNa9Nj,32.65109253,-97.09390259,anonymous,EN,Armpit length,"A pretty long time, may be damp the whole day.",Very little of my scalp if any.,Sometimes,2c,"Styling Cream,Oil","Frizz,Too Little Volume,Dull hair strands",Combination,Thick and noticeable.,None at all,,Rarely,Fresh,Arab or Middle Eastern,25-34,Palestine,Female,76017,High,wavy_High,3
10/19/2020 14:54,10/19/2020 14:58,IP Address,99.203.87.174,100,226,TRUE,10/19/2020 14:58,R_24q3lMU68nGhryK,32.73190308,-96.90570068,anonymous,EN,Armpit length,"A pretty long time, may be damp the whole day.",Very little of my scalp if any.,Weekly,3a,Styling Cream,"Frizz,Split Ends,Dandruff,Chemical and Heat Damage,Dull hair strands",Combination,Thin and bendable.,None at all,,Rarely,Fresh,Arab or Middle Eastern,18-24,Lebanon,Female,75044,High,curly_High,0
10/19/2020 15:02,10/19/2020 15:07,IP Address,47.183.192.30,100,278,TRUE,10/19/2020 15:07,R_3n2vg5VvBPitR8l,32.96569824,-96.88249969,anonymous,EN,,1-2 hours,Some of my scalp.,Daily,2a,"None of these, I prefer...","Dry Scalp,Dandruff,Dull hair strands",Oily,Thick and noticeable.,None at all,,Once or twice a year,Floral,South Asian,18-24,Pakistan,Female,75039,Medium,wavy_Medium,4
10/19/2020 15:08,10/19/2020 15:10,IP Address,24.242.251.149,100,122,TRUE,10/19/2020 15:10,R_3lEOKco9Sb17IOs,33.19760132,-96.61779785,anonymous,EN,Mid-back or longer,"A pretty long time, may be damp the whole day.",Some of my scalp.,Sometimes,3a,"Styling Cream,Mousse,Oil","Frizz,Dull hair strands",Dry,Thin and bendable.,None at all,,Rarely,Floral,Arab or Middle Eastern,18-24,Egypt,Female,75071,High,curly_High,0
10/19/2020 15:16,10/19/2020 15:19,IP Address,97.99.193.152,100,177,TRUE,10/19/2020 15:19,R_poZKaC9ZPIfJQOZ,33.02870178,-96.68260193,anonymous,EN,Chin length,1-2 hours,I have no problem seeing my scalp.,Sometimes,3c,Styling Cream,"Dry Scalp,Oily Scalp",Balanced,Thick and noticeable.,None at all,,Rarely,Fresh,Arab or Middle Eastern,18-24,,Prefer to not describe,75080,Medium,curly_Medium,1
10/19/2020 15:31,10/19/2020 15:35,IP Address,108.201.64.33,100,268,TRUE,10/19/2020 15:35,R_3kA6hl07lQMnOTW,32.65870667,-97.16169739,anonymous,EN,Mid-back or longer,"A pretty long time, may be damp the whole day.",Some of my scalp.,Sometimes,3a,"Styling Cream,Mousse","Thinning,Frizz,Too Little Volume,Dandruff,Dull hair strands",Balanced,Thin and bendable.,None at all,,Once or twice a year,Fresh,Arab or Middle Eastern,18-24,Palestine,Female,76002,High,curly_High,0
10/19/2020 16:35,10/19/2020 16:39,IP Address,172.58.109.69,100,217,TRUE,10/19/2020 16:39,R_pt95nC1SSFDhNXr,32.73190308,-96.90570068,anonymous,EN,Mid-back or longer,"A pretty long time, may be damp the whole day.",Very little of my scalp if any.,Rarely,3b,"Gel,Styling Cream,Oil","Hair Growth,Frizz,Chemical and Heat Damage,Breakage",Dry,Thick and noticeable.,None at all,,Rarely,Fruity,Arab or Middle Eastern,18-24,Palestine,Female,75062,High,curly_High,0
10/19/2020 18:06,10/19/2020 18:09,IP Address,209.163.192.132,100,217,TRUE,10/19/2020 18:09,R_1jdJHYNIkwOvqGo,32.86839294,-96.93840027,anonymous,EN,Chin length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Rarely,4c,"Custard,Oil,Hair Spray","Hair Growth,Split Ends,Breakage,Dull hair strands,Rough/Dry Hair",Dry,Thick and noticeable.,None at all,,Rarely,Fruity,Black or African American,18-Oct,United States of America,Female,75063,High,coils_High,6
10/19/2020 20:00,10/19/2020 20:04,IP Address,172.58.111.212,100,250,TRUE,10/19/2020 20:04,R_31a6HDwufu6lQNA,32.89639282,-96.8635025,anonymous,EN,Mid-back or longer,1-2 hours,Some of my scalp.,Sometimes,3b,"Styling Cream,Oil","Dry Scalp,Dandruff,Breakage,Dull hair strands,Rough/Dry Hair",Dry,Thick and noticeable.,None at all,,Rarely,,Arab or Middle Eastern,18-24,Algeria,Male,,Medium,curly_Medium,1
10/19/2020 20:10,10/19/2020 20:13,IP Address,66.169.197.62,100,182,TRUE,10/19/2020 20:13,R_1nTsU6rqnkVGY9t,32.82659912,-96.7888031,anonymous,EN,Armpit length,1-2 hours,Some of my scalp.,Weekly,3b,"Gel,Styling Cream,Oil","Hair Growth,Frizz,Dry Scalp,Breakage,Rough/Dry Hair",Balanced,Thin and bendable.,None at all,,Rarely,Fruity,"White,Black or African American",18-24,Montenegro,Female,75205,Medium,curly_Medium,1
10/19/2020 21:04,10/19/2020 21:09,IP Address,172.126.18.183,100,277,TRUE,10/19/2020 21:09,R_3hluyMUANBbO7sE,32.98800659,-96.68840027,anonymous,EN,Shoulder length,1-2 hours,Very little of my scalp if any.,Sometimes,2c,Styling Cream,"Chemical and Heat Damage,Rough/Dry Hair",Balanced,Thin and bendable.,None at all,"Chemical Straightening (Relaxer),Keratin Treatment",Once or twice a year,Floral,Arab or Middle Eastern,18-24,Egypt,Female,90024,Medium,wavy_Medium,4
10/19/2020 23:17,10/19/2020 23:20,IP Address,108.69.193.104,100,200,TRUE,10/19/2020 23:20,R_3suzNIVHbPtKuh6,32.85450745,-96.59909821,anonymous,EN,Mid-back or longer,"A pretty long time, may be damp the whole day.",Very little of my scalp if any.,Sometimes,2b,Styling Cream,"Hair Growth,Thinning,Dandruff,Dull hair strands,Rough/Dry Hair",Combination,Thick and noticeable.,None at all,,Rarely,Fresh,Arab or Middle Eastern,18-24,Jordan,Female,75182,High,wavy_High,3
10/20/2020 0:49,10/20/2020 1:13,IP Address,72.191.229.110,100,1463,TRUE,10/20/2020 1:13,R_3qQFlEso5kDX1I1,32.95219421,-96.66539764,anonymous,EN,Mid-back or longer,1-2 hours,Very little of my scalp if any.,Rarely,2c,"Styling Cream,Oil","Frizz,Rough/Dry Hair",Combination,Thick and noticeable.,None at all,Keratin Treatment,Monthly,Musk,Arab or Middle Eastern,35-44,Egypt,Female,75044,Medium,wavy_Medium,4
10/20/2020 7:20,10/20/2020 7:22,IP Address,173.90.246.57,100,144,TRUE,10/20/2020 7:22,R_54kxu5VPpzVGJpf,41.38929749,-81.30490112,anonymous,EN,Mid-back or longer,1-2 hours,Some of my scalp.,Weekly,2c,"Styling Cream,Mousse","Frizz,Dry Scalp,Rough/Dry Hair",Combination,Thick and noticeable.,None at all,,Rarely,Fresh,Asian,18-24,India,Female,44139,Medium,wavy_Medium,4
10/20/2020 9:11,10/20/2020 9:14,IP Address,47.188.41.129,100,143,TRUE,10/20/2020 9:14,R_2TyOwGe6CSmImKR,33.0809021,-96.72409821,anonymous,EN,Shoulder length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Rarely,3a,Styling Cream,"Hair Growth,Frizz,Too Much Volume",Balanced,Thick and noticeable.,None at all,,Once or twice a year,Fruity,South Asian,18-Oct,Pakistan,Female,75025,High,curly_High,0
10/20/2020 15:49,10/20/2020 15:55,IP Address,47.187.34.35,100,369,TRUE,10/20/2020 15:55,R_2U4z3qpBjujKmmO,32.84890747,-96.96669769,anonymous,EN,Shoulder length,1-2 hours,Very little of my scalp if any.,Rarely,3b,"Gel,Styling Cream,Custard,Oil","Frizz,Split Ends,Dry Scalp,Rough/Dry Hair",Balanced,Thick and noticeable.,None at all,,Rarely,Fruity,South Asian,18-24,India,Female,75062,Medium,curly_Medium,1
10/20/2020 22:20,10/20/2020 22:26,IP Address,108.28.118.188,100,407,TRUE,10/20/2020 22:26,R_24bH8jFDEccK2MT,38.96090698,-77.34290314,anonymous,EN,Shoulder length,1-2 hours,Some of my scalp.,Daily,3a,"Mousse,Oil","Hair Growth,Baldness/Alopecia,Frizz,Dry Scalp,Dandruff",Combination,Thin and bendable.,None at all,,Every few months,Fresh,Arab or Middle Eastern,18-24,Syrian Arab Republic,Female,76021,Medium,curly_Medium,1
10/20/2020 22:56,10/20/2020 22:58,IP Address,47.189.53.159,100,128,TRUE,10/20/2020 22:58,R_3KIA3QYMAdSOATJ,32.9992981,-96.83460236,anonymous,EN,Shoulder length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Sometimes,3b,Styling Cream,"Hair Growth,Frizz",Balanced,Thin and bendable.,Just a few hairs here and there,,Rarely,Fresh,Arab or Middle Eastern,18-24,Egypt,Female,75093,High,curly_High,0
10/21/2020 7:21,10/21/2020 7:24,IP Address,66.25.36.33,100,163,TRUE,10/21/2020 7:24,R_2QWhNwFjEFiDVtC,32.87559509,-96.74949646,anonymous,EN,,Just a few minutes out of the shower,I have no problem seeing my scalp.,Sometimes,2b,"None of these, I prefer...","Hair Growth,Thinning,Frizz,Too Little Volume,Split Ends",Dry,Thick and noticeable.,None at all,,Weekly,Musk,Arab or Middle Eastern,18-24,Egypt,Female,,Low,wavy_Low,5
10/21/2020 13:23,10/21/2020 13:29,IP Address,68.203.142.8,100,332,TRUE,10/21/2020 13:29,R_2YVvGJ3oka7L1k6,33.00320435,-96.54340363,anonymous,EN,Above the ear or shoulder,Just a few minutes out of the shower,I have no problem seeing my scalp.,Rarely,1,"None of these, I prefer...","Thinning,Frizz,Dull hair strands,Oily Scalp",Oily,Thin and bendable.,None at all,,Rarely,Unscented,South Asian,18-24,Pakistan,Male,75048,Low,Straight_Low,10
10/21/2020 14:02,10/21/2020 14:05,IP Address,97.99.101.254,100,209,TRUE,10/21/2020 14:05,R_6onWWgcFVgK2h6F,32.9992981,-96.83460236,anonymous,EN,Above the ear or shoulder,Just a few minutes out of the shower,I have no problem seeing my scalp.,Rarely,2a,Gel,"Thinning,Baldness/Alopecia",Oily,Thin and bendable.,None at all,,Rarely,Fresh,Arab or Middle Eastern,25-34,Palestine,Male,75287,Low,wavy_Low,5
10/21/2020 14:08,10/21/2020 14:12,IP Address,76.184.7.203,100,208,TRUE,10/21/2020 14:12,R_2428WLw2uo6qlKq,32.78160095,-97.08280182,anonymous,EN,Armpit length,"A pretty long time, may be damp the whole day.",I have no problem seeing my scalp.,Rarely,3b,"Mousse,Oil,None of these, I prefer...","Thinning,Frizz,Too Little Volume,Breakage",Balanced,Thin and bendable.,None at all,,Monthly,Unscented,Arab or Middle Eastern,18-24,Palestine,Female,76006,High,curly_High,0
10/21/2020 21:51,10/21/2020 21:54,IP Address,172.9.32.19,100,200,TRUE,10/21/2020 21:54,R_PTcEBnA8fxyLprX,33.51190186,-101.9316025,anonymous,EN,Above the ear or shoulder,1-2 hours,Some of my scalp.,Rarely,3a,"Hair Wax/Pomade,Oil","Split Ends,Dry Scalp,Chemical and Heat Damage",Combination,Thin and bendable.,Just a few hairs here and there,,Every few months,Floral,Arab or Middle Eastern,25-34,Syrian Arab Republic,Male,79423,Medium,curly_Medium,1
10/22/2020 14:07,10/22/2020 14:11,IP Address,47.187.113.212,100,241,TRUE,10/22/2020 14:11,R_427o4BsVBk9b13X,32.96099854,-96.98410034,anonymous,EN,Mid-back or longer,1-2 hours,Some of my scalp.,Sometimes,3c,Styling Cream,"Frizz,Too Little Volume,Dandruff,Breakage",Balanced,Thick and noticeable.,None at all,,Rarely,Floral,Arab or Middle Eastern,18-Oct,Egypt,Female,75019,Medium,curly_Medium,1
10/23/2020 21:31,10/23/2020 21:34,IP Address,174.246.132.25,100,200,TRUE,10/23/2020 21:34,R_eKhMVU3LjCo7OAF,32.83099365,-96.76920319,anonymous,EN,Chin length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Weekly,3c,Styling Cream,"Hair Growth,Frizz,Split Ends,Dandruff,Breakage",Balanced,Thick and noticeable.,None at all,,Rarely,Spice,Arab or Middle Eastern,18-24,Egypt,Female,75093,High,curly_High,0
10/24/2020 15:16,10/24/2020 15:18,IP Address,172.58.70.179,100,167,TRUE,10/24/2020 15:18,R_1OIeIsbhGS0n1GZ,36.06059265,-95.94560242,anonymous,EN,,1-2 hours,I have no problem seeing my scalp.,Daily,3b,"None of these, I prefer...","Thinning,Too Little Volume,Dandruff",Oily,Thin and bendable.,None at all,,Rarely,Unscented,Arab or Middle Eastern,25-34,Egypt,Male,,Medium,curly_Medium,1
10/24/2020 22:34,10/24/2020 22:38,IP Address,72.180.102.8,100,264,TRUE,10/24/2020 22:38,R_3FQB9PsTVm5RCiM,33.0809021,-96.72409821,anonymous,EN,Shoulder length,Just a few minutes out of the shower,I have no problem seeing my scalp.,Sometimes,2c,Styling Cream,"Hair Growth,Thinning,Too Little Volume",Oily,Thin and bendable.,Just a few hairs here and there,,Rarely,Unscented,Arab or Middle Eastern,18-24,Palestine,Female,,Low,wavy_Low,5
10/28/2020 10:18,10/28/2020 10:22,IP Address,98.201.127.16,100,231,TRUE,10/28/2020 10:22,R_31irfUoB4vLvsO2,29.74499512,-95.73259735,anonymous,EN,,1-2 hours,Some of my scalp.,Sometimes,2b,"Mousse,Custard","Hair Growth,Baldness/Alopecia,Frizz,Split Ends,Chemical and Heat Damage,Breakage,Rough/Dry Hair",Oily,Thick and noticeable.,None at all,,Once or twice a year,Floral,Arab or Middle Eastern,25-34,Lebanon,Female,77450,Medium,wavy_Medium,4
10/28/2020 22:34,10/28/2020 22:37,IP Address,47.185.219.34,100,202,TRUE,10/28/2020 22:37,R_1PXCpYWZ469P0q1,33.02870178,-96.68260193,anonymous,EN,Mid-back or longer,"A pretty long time, may be damp the whole day.",Some of my scalp.,Sometimes,3b,Styling Cream,"Frizz,Dandruff,Breakage,Dull hair strands,Rough/Dry Hair",Dry,Thin and bendable.,Just a few hairs here and there,,Rarely,Fruity,Arab or Middle Eastern,18-24,Egypt,Female,75074,High,curly_High,0
10/28/2020 22:36,10/28/2020 22:40,IP Address,73.132.69.38,100,247,TRUE,10/28/2020 22:40,R_2pLzKvouJweK7S4,38.96090698,-77.34290314,anonymous,EN,Armpit length,Just a few minutes out of the shower,I have no problem seeing my scalp.,Rarely,3a,"None of these, I prefer...","Hair Growth,Thinning,Baldness/Alopecia",Balanced,Thin and bendable.,Just a few hairs here and there,,Rarely,Fresh,Arab or Middle Eastern,25-34,Egypt,Male,20190,Low,curly_Low,2
10/28/2020 22:42,10/28/2020 22:44,IP Address,47.185.247.60,100,137,TRUE,10/28/2020 22:44,R_xoAcD7q47LEcWHv,33.02870178,-96.68260193,anonymous,EN,Shoulder length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Rarely,2a,Oil,Oily Scalp,Oily,Thick and noticeable.,None at all,Keratin Treatment,Every few months,Fresh,,18-24,Iraq,Female,,High,wavy_High,3
10/28/2020 22:41,10/28/2020 22:46,IP Address,75.28.20.215,100,335,TRUE,10/28/2020 22:46,R_331pSTkHWFU4q3n,32.82850647,-97.0951004,anonymous,EN,Armpit length,"A pretty long time, may be damp the whole day.",I have no problem seeing my scalp.,Sometimes,3b,"Gel,Mousse,Hair Wax/Pomade","Hair Growth,Thinning,Frizz,Split Ends,Breakage",Combination,Thin and bendable.,None at all,,Rarely,Fruity,White,18-24,United States of America,Female,76040,High,curly_High,0
10/28/2020 23:02,10/28/2020 23:06,IP Address,97.99.210.190,100,244,TRUE,10/28/2020 23:06,R_2an0Hjcr71j0QWs,33.02870178,-96.68260193,anonymous,EN,,"A pretty long time, may be damp the whole day.",I have no problem seeing my scalp.,Sometimes,4a,"Styling Cream,Oil","Thinning,Frizz,Split Ends,Dull hair strands",Dry,Thin and bendable.,None at all,,Once or twice a year,Fresh,Black or African American,18-24,Ethiopia,Female,,High,coils_High,6
10/29/2020 0:42,10/29/2020 0:45,IP Address,129.119.235.26,100,217,TRUE,10/29/2020 0:45,R_24c91MJZyO7sIEs,32.82659912,-96.7888031,anonymous,EN,Above the ear or shoulder,1-2 hours,Some of my scalp.,Rarely,4a,"Styling Cream,Hair Wax/Pomade,Oil","Oily Scalp,Rough/Dry Hair",Balanced,Thick and noticeable.,None at all,,Rarely,Fresh,Black or African American,18-24,United States of America,Male,75104,Medium,coils_Medium,7
10/29/2020 0:48,10/29/2020 0:55,IP Address,66.68.202.46,100,390,TRUE,10/29/2020 0:55,R_3rSCQVHoQaC88T6,33.00320435,-96.54340363,anonymous,EN,Above the ear or shoulder,1-2 hours,I have no problem seeing my scalp.,Rarely,4a,"None of these, I prefer...",Dry Scalp,Dry,Thin and bendable.,None at all,,Rarely,Fresh,Black or African American,25-34,United States of America,Male,75056,Medium,coils_Medium,7
10/29/2020 8:14,10/29/2020 8:17,IP Address,151.185.60.250,100,173,TRUE,10/29/2020 8:17,R_SAJjRNkqOGI8XjH,26.71650696,-80.06790161,anonymous,EN,,"A pretty long time, may be damp the whole day.",I have no problem seeing my scalp.,Daily,4a,Mousse,Rough/Dry Hair,Balanced,Thick and noticeable.,None at all,,Rarely,Fresh,White,18-24,Dominican Republic,Female,33437,High,coils_High,6
10/29/2020 8:15,10/29/2020 8:18,IP Address,172.3.108.137,100,214,TRUE,10/29/2020 8:18,R_1iaKyo336ARrOlL,32.94729614,-96.70279694,anonymous,EN,Above the ear or shoulder,Just a few minutes out of the shower,I have no problem seeing my scalp.,Rarely,2b,Styling Cream,"Thinning,Baldness/Alopecia,Frizz,Dry Scalp,Rough/Dry Hair",Balanced,Thin and bendable.,None at all,,Rarely,Fresh,Arab or Middle Eastern,25-34,Egypt,Male,75080,Low,wavy_Low,5
